Country,Clicks,Impressions,CTR,Position
Luxembourg,0,25,0%,6.52
Nepal,0,24,0%,7.17
Lebanon,0,21,0%,6
Paraguay,0,21,0%,6.43
Honduras,0,19,0%,8.26
Syria,0,19,0%,9.47
Bosnia & Herzegovina,0,18,0%,7.61
Moldova,0,18,0%,12.67
Ghana,0,17,0%,7.53
Guatemala,0,17,0%,11.65
Slovenia,0,17,0%,12.41
China,0,16,0%,6.69
Azerbaijan,0,16,0%,7.25
Sri Lanka,0,16,0%,9.5
Latvia,0,15,0%,9.47
Uzbekistan,0,14,0%,6.79
Iceland,0,14,0%,7.93
Palestine,0,13,0%,7.08
Estonia,0,12,0%,7.75
Nicaragua,0,12,0%,13.83
Libya,0,11,0%,5.09
Kuwait,0,11,0%,6.36
Maldives,0,11,0%,7.45
Mongolia,0,11,0%,7.91
Macedonia,0,10,0%,4.6
Armenia,0,10,0%,7.7
Bahrain,0,10,0%,8.4
El Salvador,0,10,0%,13.5
Côte d’Ivoire,0,9,0%,6.56
Senegal,0,9,0%,7.33
Zimbabwe,0,9,0%,14
St. Kitts & Nevis,0,8,0%,8
Cambodia,0,7,0%,7.29
Bolivia,0,7,0%,10.43
Yemen,0,6,0%,7.33
Belize,0,6,0%,9
Antigua & Barbuda,0,5,0%,6.8
Botswana,0,5,0%,7.2
Montenegro,0,5,0%,7.2
Suriname,0,5,0%,9
Grenada,0,5,0%,11.6
Mauritius,0,5,0%,18.2
Togo,0,4,0%,6
Angola,0,4,0%,7
Aruba,0,4,0%,7.25
Tanzania,0,4,0%,7.5
US Virgin Islands,0,4,0%,7.75
Guyana,0,4,0%,8
St. Lucia,0,4,0%,8.25
British Virgin Islands,0,4,0%,8.75
Cameroon,0,4,0%,10.5
Sudan,0,4,0%,12
Kyrgyzstan,0,4,0%,12.25
Congo - Brazzaville,0,3,0%,3.67
Isle of Man,0,3,0%,4.33
Iran,0,3,0%,4.67
Namibia,0,3,0%,5.67
Guernsey,0,3,0%,6.33
Laos,0,3,0%,8.67
Haiti,0,3,0%,9.33
Myanmar (Burma),0,3,0%,10
Western Sahara,0,3,0%,26.67
Cayman Islands,0,2,0%,4
Kosovo,0,2,0%,6
Unknown Region,0,2,0%,6
Caribbean Netherlands,0,2,0%,7
Zambia,0,2,0%,7
Macau,0,2,0%,7.5
St. Vincent & Grenadines,0,2,0%,7.5
Brunei,0,2,0%,8.5
Bermuda,0,2,0%,9
Tajikistan,0,2,0%,9.5
Guinea,0,2,0%,10
Congo - Kinshasa,0,2,0%,13
Curaçao,0,2,0%,14.5
Gabon,0,1,0%,1
Madagascar,0,1,0%,2
Burkina Faso,0,1,0%,5
Cape Verde,0,1,0%,5
